Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    3.38036,   160.18,    2.86364,    37.77,    3.04182,   -72.46,          0,     0.00, 1.04814E-012,   130.60,    3.38036,   -19.82,    2.86364,  -142.23,    3.04182,   107.54,          0,     0.00, 1.04814E-012,   -49.40
Line.LINE1,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE2,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE3,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE4,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE5,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE6,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE7,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE8,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE9,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE10,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE11,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE12,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
Line.LINE13,     93.744,   -48.03,    84.7155,  -168.29,    66.4532,    71.84,          0,     0.00,    23.7544,   -88.90,     93.744,   131.97,    84.7155,    11.71,    66.4532,  -108.16,          0,     0.00,    23.7544,    91.10
