Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11, 1,    6346.87,   -0.1,   0.99937, 2,    6347.27, -120.0,   0.99944, 3,    6347.98,  119.9,   0.99955
"1", 0.4, 1,     239.91,  -30.1,    1.0388, 2,    239.896, -150.1,    1.0388, 3,    239.966,   89.9,    1.0391
"2", 0.4, 1,     239.86,  -30.1,    1.0386, 2,     239.85, -150.1,    1.0386, 3,    239.943,   89.9,     1.039
"3", 0.4, 1,    239.854,  -30.1,    1.0386, 2,    239.846, -150.1,    1.0386, 3,     239.94,   89.9,     1.039
"4", 0.4, 1,    239.849,  -30.1,    1.0386, 2,    239.841, -150.1,    1.0385, 3,    239.938,   89.9,     1.039
"5", 0.4, 1,    239.845,  -30.1,    1.0386, 2,    239.837, -150.1,    1.0385, 3,    239.936,   89.9,     1.039
"6", 0.4, 1,    239.838,  -30.1,    1.0385, 2,    239.831, -150.1,    1.0385, 3,    239.933,   89.9,    1.0389
"7", 0.4, 1,    239.372,  -30.1,    1.0365, 2,     239.41, -150.1,    1.0367, 3,    239.718,   89.9,     1.038
"8", 0.4, 1,    239.351,  -30.1,    1.0364, 2,    239.391, -150.1,    1.0366, 3,    239.709,   89.9,     1.038
"9", 0.4, 1,    239.333,  -30.1,    1.0363, 2,    239.375, -150.1,    1.0365, 3,    239.701,   89.9,    1.0379
"10", 0.4, 1,    239.318,  -30.1,    1.0363, 2,    239.362, -150.1,    1.0365, 3,    239.694,   89.9,    1.0379
"11", 0.4, 1,    239.307,  -30.1,    1.0362, 2,    239.351, -150.1,    1.0364, 3,    239.688,   89.9,    1.0379
"12", 0.4, 1,    239.296,  -30.1,    1.0362, 2,    239.342, -150.1,    1.0364, 3,    239.684,   89.9,    1.0379
"13", 0.4, 1,    239.289,  -30.1,    1.0362, 2,    239.336, -150.1,    1.0364, 3,     239.68,   89.9,    1.0378
"14", 0.4, 1,    239.273,  -30.1,    1.0361, 2,    239.321, -150.1,    1.0363, 3,    239.673,   89.9,    1.0378
"15", 0.4, 1,    239.141,  -30.0,    1.0355, 2,    239.201, -150.1,    1.0358, 3,    239.612,   89.9,    1.0376
"16", 0.4, 1,    239.141,  -30.0,    1.0355, 2,    239.201, -150.1,    1.0358, 3,    239.612,   89.9,    1.0376
"17", 0.4, 1,     238.98,  -30.0,    1.0348, 2,    239.056, -150.1,    1.0351, 3,    239.538,   89.9,    1.0372
"18", 0.4, 1,    239.141,  -30.0,    1.0355, 2,    239.201, -150.1,    1.0358, 3,    239.612,   89.9,    1.0376
"19", 0.4, 1,    238.969,  -30.0,    1.0348, 2,    239.046, -150.1,    1.0351, 3,    239.533,   89.9,    1.0372
"20", 0.4, 1,    239.141,  -30.0,    1.0355, 2,    239.201, -150.1,    1.0358, 3,    239.612,   89.9,    1.0376
"21", 0.4, 1,    238.956,  -30.0,    1.0347, 2,    239.035, -150.1,    1.0351, 3,    239.527,   90.0,    1.0372
"22", 0.4, 1,    239.141,  -30.0,    1.0355, 2,    239.201, -150.1,    1.0358, 3,    239.612,   89.9,    1.0376
"23", 0.4, 1,    238.936,  -30.0,    1.0346, 2,    239.017, -150.1,     1.035, 3,    239.518,   90.0,    1.0371
"24", 0.4, 1,    239.141,  -30.0,    1.0355, 2,    239.201, -150.1,    1.0358, 3,    239.612,   89.9,    1.0376
"25", 0.4, 1,    238.899,  -30.0,    1.0345, 2,    238.984, -150.1,    1.0348, 3,    239.501,   90.0,    1.0371
"26", 0.4, 1,    239.141,  -30.0,    1.0355, 2,    239.201, -150.1,    1.0358, 3,    239.612,   89.9,    1.0376
